Simulation Log
==============
Time: 1.97s | Bodies: 1185 | Live Microbes: 0
Time: 1.99s | Bodies: 1185 | Live Microbes: 0
Time: 2.01s | Bodies: 1185 | Live Microbes: 0
Time: 2.03s | Bodies: 1185 | Live Microbes: 0
Time: 2.04s | Bodies: 1185 | Live Microbes: 0
Time: 2.06s | Bodies: 1185 | Live Microbes: 0
Time: 2.08s | Bodies: 1185 | Live Microbes: 0
Time: 2.10s | Bodies: 1185 | Live Microbes: 0
Time: 2.11s | Bodies: 1185 | Live Microbes: 0
Time: 2.13s | Bodies: 1185 | Live Microbes: 0
Time: 2.15s | Bodies: 1185 | Live Microbes: 0
Time: 2.17s | Bodies: 1185 | Live Microbes: 0
Time: 2.18s | Bodies: 1185 | Live Microbes: 0
Time: 2.20s | Bodies: 1185 | Live Microbes: 0
Time: 2.22s | Bodies: 1185 | Live Microbes: 0
Time: 2.24s | Bodies: 1185 | Live Microbes: 0
Time: 2.25s | Bodies: 1185 | Live Microbes: 0
Time: 2.27s | Bodies: 1185 | Live Microbes: 0
Time: 2.29s | Bodies: 1185 | Live Microbes: 0
Time: 2.31s | Bodies: 1185 | Live Microbes: 0
Time: 2.32s | Bodies: 1185 | Live Microbes: 0
Time: 2.34s | Bodies: 1185 | Live Microbes: 0
Time: 2.36s | Bodies: 1185 | Live Microbes: 0
Time: 2.37s | Bodies: 1185 | Live Microbes: 0
Time: 2.39s | Bodies: 1185 | Live Microbes: 0
Time: 2.41s | Bodies: 1185 | Live Microbes: 0
Time: 2.43s | Bodies: 1185 | Live Microbes: 0
Time: 2.44s | Bodies: 1185 | Live Microbes: 0
Time: 2.46s | Bodies: 1185 | Live Microbes: 0
Time: 2.48s | Bodies: 1185 | Live Microbes: 0
Time: 2.50s | Bodies: 1185 | Live Microbes: 0
Time: 2.51s | Bodies: 1185 | Live Microbes: 0
Time: 2.53s | Bodies: 1185 | Live Microbes: 0
Time: 2.55s | Bodies: 1185 | Live Microbes: 0
Time: 2.57s | Bodies: 1185 | Live Microbes: 0
Time: 2.59s | Bodies: 1185 | Live Microbes: 0
Time: 2.60s | Bodies: 1185 | Live Microbes: 0
Time: 2.62s | Bodies: 1185 | Live Microbes: 0
Time: 2.64s | Bodies: 1185 | Live Microbes: 0
Time: 2.66s | Bodies: 1185 | Live Microbes: 0
Time: 2.68s | Bodies: 1185 | Live Microbes: 0
Time: 2.69s | Bodies: 1185 | Live Microbes: 0
Time: 2.71s | Bodies: 1185 | Live Microbes: 0
Time: 2.73s | Bodies: 1185 | Live Microbes: 0
Time: 2.75s | Bodies: 1185 | Live Microbes: 0
Time: 2.76s | Bodies: 1185 | Live Microbes: 0
Time: 2.78s | Bodies: 1185 | Live Microbes: 0
Time: 2.80s | Bodies: 1185 | Live Microbes: 0
Time: 2.82s | Bodies: 1185 | Live Microbes: 0
Time: 2.84s | Bodies: 1185 | Live Microbes: 0
Time: 2.85s | Bodies: 1185 | Live Microbes: 0
Time: 2.87s | Bodies: 1185 | Live Microbes: 0
Time: 2.89s | Bodies: 1185 | Live Microbes: 0
Time: 2.91s | Bodies: 1185 | Live Microbes: 0
Time: 2.93s | Bodies: 1185 | Live Microbes: 0
Time: 2.94s | Bodies: 1185 | Live Microbes: 0
Time: 2.96s | Bodies: 1185 | Live Microbes: 0
Time: 2.98s | Bodies: 1185 | Live Microbes: 0
Time: 3.00s | Bodies: 1185 | Live Microbes: 0
Time: 3.01s | Bodies: 1185 | Live Microbes: 0
Time: 3.03s | Bodies: 1185 | Live Microbes: 0
Time: 3.05s | Bodies: 1185 | Live Microbes: 0
Time: 3.07s | Bodies: 1185 | Live Microbes: 0
Time: 3.08s | Bodies: 1185 | Live Microbes: 0
Time: 3.10s | Bodies: 1185 | Live Microbes: 0
Time: 3.12s | Bodies: 1185 | Live Microbes: 0
Time: 3.14s | Bodies: 1185 | Live Microbes: 0
Time: 3.15s | Bodies: 1185 | Live Microbes: 0
Time: 3.17s | Bodies: 1185 | Live Microbes: 0
Time: 3.19s | Bodies: 1185 | Live Microbes: 0
Time: 3.21s | Bodies: 1185 | Live Microbes: 0
Time: 3.23s | Bodies: 1185 | Live Microbes: 0
Time: 3.24s | Bodies: 1185 | Live Microbes: 0
Time: 3.26s | Bodies: 1185 | Live Microbes: 0
Time: 3.28s | Bodies: 1185 | Live Microbes: 0
Time: 3.30s | Bodies: 1185 | Live Microbes: 0
Time: 3.32s | Bodies: 1185 | Live Microbes: 0
Time: 3.34s | Bodies: 1185 | Live Microbes: 0
Time: 3.35s | Bodies: 1185 | Live Microbes: 0
Time: 3.37s | Bodies: 1185 | Live Microbes: 0
Time: 3.39s | Bodies: 1185 | Live Microbes: 0
Time: 3.41s | Bodies: 1185 | Live Microbes: 0
Time: 3.42s | Bodies: 1185 | Live Microbes: 0
Time: 3.44s | Bodies: 1185 | Live Microbes: 0
Time: 3.46s | Bodies: 1185 | Live Microbes: 0
Time: 3.48s | Bodies: 1185 | Live Microbes: 0
Time: 3.50s | Bodies: 1185 | Live Microbes: 0
Time: 3.51s | Bodies: 1185 | Live Microbes: 0
Time: 3.53s | Bodies: 1185 | Live Microbes: 0
Time: 3.55s | Bodies: 1185 | Live Microbes: 0
Time: 3.57s | Bodies: 1185 | Live Microbes: 0
Time: 3.58s | Bodies: 1185 | Live Microbes: 0
Time: 3.60s | Bodies: 1185 | Live Microbes: 0
Time: 3.62s | Bodies: 1185 | Live Microbes: 0
Time: 3.64s | Bodies: 1185 | Live Microbes: 0
Time: 3.66s | Bodies: 1185 | Live Microbes: 0
Time: 3.67s | Bodies: 1185 | Live Microbes: 0
Time: 3.69s | Bodies: 1185 | Live Microbes: 0
Time: 3.71s | Bodies: 1185 | Live Microbes: 0
Time: 3.73s | Bodies: 1185 | Live Microbes: 0
Time: 3.75s | Bodies: 1185 | Live Microbes: 0
Time: 3.76s | Bodies: 1185 | Live Microbes: 0
Time: 3.78s | Bodies: 1185 | Live Microbes: 0
Time: 3.80s | Bodies: 1185 | Live Microbes: 0
Time: 3.81s | Bodies: 1185 | Live Microbes: 0
Time: 3.83s | Bodies: 1185 | Live Microbes: 0
Time: 3.85s | Bodies: 1185 | Live Microbes: 0
Time: 3.87s | Bodies: 1185 | Live Microbes: 0
Time: 3.89s | Bodies: 1185 | Live Microbes: 0
Time: 3.90s | Bodies: 1185 | Live Microbes: 0
Time: 3.92s | Bodies: 1185 | Live Microbes: 0
Time: 3.94s | Bodies: 1185 | Live Microbes: 0
Time: 3.95s | Bodies: 1185 | Live Microbes: 0
Time: 3.97s | Bodies: 1185 | Live Microbes: 0
Time: 4.00s | Bodies: 1185 | Live Microbes: 0
Time: 4.02s | Bodies: 1185 | Live Microbes: 0
Time: 4.04s | Bodies: 1185 | Live Microbes: 0
Time: 4.06s | Bodies: 1185 | Live Microbes: 0
Time: 4.07s | Bodies: 1185 | Live Microbes: 0
Time: 4.09s | Bodies: 1185 | Live Microbes: 0
Time: 4.11s | Bodies: 1185 | Live Microbes: 0
Time: 4.13s | Bodies: 1185 | Live Microbes: 0
Time: 4.14s | Bodies: 1185 | Live Microbes: 0
Time: 4.16s | Bodies: 1185 | Live Microbes: 0
Time: 4.18s | Bodies: 1185 | Live Microbes: 0
Time: 4.20s | Bodies: 1185 | Live Microbes: 0
Time: 4.22s | Bodies: 1185 | Live Microbes: 0
Time: 4.23s | Bodies: 1185 | Live Microbes: 0
Time: 4.25s | Bodies: 1185 | Live Microbes: 0
Time: 4.27s | Bodies: 1185 | Live Microbes: 0
Time: 4.29s | Bodies: 1185 | Live Microbes: 0
Time: 4.30s | Bodies: 1185 | Live Microbes: 0
Time: 4.32s | Bodies: 1185 | Live Microbes: 0
Time: 4.34s | Bodies: 1185 | Live Microbes: 0
Time: 4.36s | Bodies: 1185 | Live Microbes: 0
Time: 4.37s | Bodies: 1185 | Live Microbes: 0
Time: 4.39s | Bodies: 1185 | Live Microbes: 0
Time: 4.41s | Bodies: 1185 | Live Microbes: 0
Time: 4.43s | Bodies: 1185 | Live Microbes: 0
Time: 4.44s | Bodies: 1185 | Live Microbes: 0
Time: 4.46s | Bodies: 1185 | Live Microbes: 0
Time: 4.48s | Bodies: 1185 | Live Microbes: 0
Time: 4.50s | Bodies: 1185 | Live Microbes: 0
Time: 4.51s | Bodies: 1185 | Live Microbes: 0
Time: 4.53s | Bodies: 1185 | Live Microbes: 0
Time: 4.55s | Bodies: 1185 | Live Microbes: 0
Time: 4.57s | Bodies: 1185 | Live Microbes: 0
Time: 4.58s | Bodies: 1185 | Live Microbes: 0
Time: 4.60s | Bodies: 1185 | Live Microbes: 0
Time: 4.62s | Bodies: 1185 | Live Microbes: 0
Time: 4.64s | Bodies: 1185 | Live Microbes: 0
Time: 4.65s | Bodies: 1185 | Live Microbes: 0
Time: 4.67s | Bodies: 1185 | Live Microbes: 0
Time: 4.69s | Bodies: 1185 | Live Microbes: 0
Time: 4.71s | Bodies: 1185 | Live Microbes: 0
Time: 4.72s | Bodies: 1185 | Live Microbes: 0
Time: 4.74s | Bodies: 1185 | Live Microbes: 0
Time: 4.76s | Bodies: 1185 | Live Microbes: 0
Time: 4.78s | Bodies: 1185 | Live Microbes: 0
Time: 4.80s | Bodies: 1185 | Live Microbes: 0
Time: 4.81s | Bodies: 1185 | Live Microbes: 0
Time: 4.83s | Bodies: 1185 | Live Microbes: 0
Time: 4.85s | Bodies: 1185 | Live Microbes: 0
Time: 4.87s | Bodies: 1185 | Live Microbes: 0
Time: 4.88s | Bodies: 1185 | Live Microbes: 0
Time: 4.90s | Bodies: 1185 | Live Microbes: 0
Time: 4.92s | Bodies: 1185 | Live Microbes: 0
Time: 4.94s | Bodies: 1185 | Live Microbes: 0
Time: 4.95s | Bodies: 1185 | Live Microbes: 0
